,name,wavelength
0,F100_100000M,100.0
1,S__2_102867M,102.8
2,S__2_103205M,103.2
3,S__2_103364M,103.3
4,S__2_103705M,103.7
5,S__4_105076M,105.0
6,HE_1_108303M,108.3
7,F12__120000M,120.0
8,H__1_121567A,121.5
9,N__2_121767M,121.7
10,H__1_123684M,123.6
11,H__1_128180M,128.1
12,C_2R_133500A,133.5
13,SI_4_139375A,139.3
14,CL_2_143639M,143.6
15,NE_3_155509M,155.5
16,C__2_157636M,157.6
17,HE_2_164043A,164.0
18,O__3_166081A,166.0
19,C__2_176100A,176.1
20,NE_3_181456A,181.4
21,S__3_187078M,187.0
22,H__1_187510M,187.5
23,SI_3_188271A,188.2
24,SI_3_189203A,189.2
25,H__1_190565M,190.5
26,C__3_190668A,190.6
27,C__3_190873A,190.8
28,CL_4_203197M,203.1
29,N__2_205244M,205.2
30,HE_1_205813M,205.8
31,N__2_214278A,214.2
32,AR_3_218253M,218.2
33,F25__250000M,250.0
34,FE_2_259811M,259.8
35,H__1_262513M,262.5
36,AL_2_266035A,266.0
37,AL_2_266915A,266.9
38,MG_2_279553A,279.5
39,MG_2_280271A,280.2
40,FE_4_283574A,283.5
41,AR_3_310918A,310.9
42,S__3_334704M,334.7
43,SI_2_348046M,348.0
44,NE_3_360036M,360.0
45,BAC__364600A,364.6
46,O__2_372603A,372.6
47,O__2_372881A,372.8
48,O_2R_372900A,372.9
49,NE_3_386876A,386.8
50,HE_1_388863A,388.8
51,H__1_388905A,388.9
52,NE_3_396747A,396.7
53,H__1_405113M,405.1
54,S__2_406860A,406.8
55,S__2_407635A,407.6
56,C__2_426700A,426.7
57,H__1_434046A,434.0
58,HE_1_447149A,447.1
59,O__2_465100A,465.1
60,FE_3_465801A,465.8
61,FE_3_470162A,470.1
62,AR_4_471126A,471.1
63,AR_4_474012A,474.0
64,H__1_486133A,486.1
65,FE_3_488112A,488.1
66,O__3_495891A,495.8
67,O__3_500684A,500.6
68,O__3_518004M,518.0
69,AR_3_519182A,519.1
70,FE_3_527040A,527.0
71,FE_2_533881M,533.8
72,CL_3_551771A,551.7
73,CL_3_553787A,553.7
74,N__3_573238M,573.2
75,HE_1_587564A,587.5
76,F60__600000M,600.0
77,O__1_630030A,630.0
78,S__3_631206A,631.2
79,O__1_631679M,631.6
80,N__2_654805A,654.8
81,H__1_656281A,656.2
82,N__2_658345A,658.3
83,HE_1_667815A,667.8
84,S__2_671644A,671.6
85,S__2_673082A,673.0
86,AR_2_698337M,698.3
87,HE_1_706522A,706.5
88,AR_3_713579A,713.5
89,HE_1_728135A,728.1
90,CA_2_729147A,729.1
91,NA_3_731706M,731.7
92,CA_2_732389A,732.3
93,H__1_745777M,745.7
94,AR_3_775111A,775.1
95,CA_2_849802A,849.8
96,CA_2_854209A,854.2
97,CL_2_857870A,857.8
98,CA_2_866214A,866.2
99,O__3_883323M,883.3
100,AR_3_898898M,898.8
101,S__3_906862A,906.8
102,S__3_953062A,953.0
