,mode,variable,value
0,photo,tau_main,0.5725622713471272
1,photo,tau_main,0.10517148129874204
2,photo,tau_main,0.332243466132745
3,photo,tau_main,0.263453347770327
4,photo,tau_main,0.5057876505197315
5,photo,tau_main,0.617828616401646
6,photo,tau_main,0.22617686965709694
7,photo,tau_main,0.24705083613322132
8,photo,tau_main,0.21944062006141424
9,photo,tau_main,0.24637547491687836
10,photo,tau_main,0.19712531490002191
11,photo,tau_main,0.5387104670489256
12,photo,tau_main,0.36615495771445755
13,photo,tau_main,0.3428005870354467
14,photo,tau_main,0.23671063558698233
15,photo,tau_main,0.2412827722360665
16,photo,tau_main,0.2164169978876733
17,photo,tau_main,0.3009593816136624
18,photo,tau_main,0.19126885382947603
19,photo,tau_main,0.09815173625309058
20,spectro,tau_main,0.40620508998510196
21,spectro,tau_main,0.06627201953457207
22,spectro,tau_main,0.27683977417214933
23,spectro,tau_main,0.4174887946136775
24,spectro,tau_main,0.4055133880004596
25,spectro,tau_main,0.28990326091472557
26,spectro,tau_main,0.3116482999431311
27,spectro,tau_main,0.29894040186057175
28,spectro,tau_main,0.2301585065575303
29,spectro,tau_main,0.2040028055503573
30,spectro,tau_main,0.2495408565461553
31,spectro,tau_main,0.45052928903399275
32,spectro,tau_main,0.4447692467489572
33,spectro,tau_main,0.26207709320596645
34,spectro,tau_main,0.2077103022381078
35,spectro,tau_main,0.24980181470465382
36,spectro,tau_main,0.3090846097440352
37,spectro,tau_main,0.31322351523461023
38,spectro,tau_main,0.28154766746068266
39,spectro,tau_main,0.006945842809255396
40,photo+spectro,tau_main,0.59495010352467
41,photo+spectro,tau_main,0.05038763686201528
42,photo+spectro,tau_main,0.28505865306895095
43,photo+spectro,tau_main,0.32645223592912104
44,photo+spectro,tau_main,0.47708002549219264
45,photo+spectro,tau_main,0.5263263430959927
46,photo+spectro,tau_main,0.2641140397644485
47,photo+spectro,tau_main,0.3950180896586786
48,photo+spectro,tau_main,0.25922108629213864
49,photo+spectro,tau_main,0.23484121931880478
50,photo+spectro,tau_main,0.267547160641455
51,photo+spectro,tau_main,0.6602023959805117
52,photo+spectro,tau_main,0.4849178897536961
53,photo+spectro,tau_main,0.4010521004122539
54,photo+spectro,tau_main,0.2106036488147823
55,photo+spectro,tau_main,0.21696722835166565
56,photo+spectro,tau_main,0.3674774472767904
57,photo+spectro,tau_main,0.30001785253909097
58,photo+spectro,tau_main,0.31896399037845835
59,photo+spectro,tau_main,0.15268121179971558
60,photo,age_main,4.831685522157642
61,photo,age_main,4.872705115952809
62,photo,age_main,2.155436033802639
63,photo,age_main,1.4736337443912977
64,photo,age_main,2.275321826595445
65,photo,age_main,4.036942772137144
66,photo,age_main,4.946965742547494
67,photo,age_main,2.9324135577789723
68,photo,age_main,3.7270339151812277
69,photo,age_main,1.5390251867340998
70,photo,age_main,5.192001522112968
71,photo,age_main,4.1688981730524
72,photo,age_main,4.905931535715509
73,photo,age_main,0.22045657942651042
74,photo,age_main,3.4866728942084193
75,photo,age_main,1.6516953750709227
76,photo,age_main,1.190445952528507
77,photo,age_main,3.067761355148656
78,photo,age_main,1.341315643252383
79,photo,age_main,0.5706560528658905
80,spectro,age_main,0.9504974513753025
81,spectro,age_main,0.595071011171025
82,spectro,age_main,1.2742423001708367
83,spectro,age_main,0.2082741098103526
84,spectro,age_main,1.1932799968545733
85,spectro,age_main,0.3868681616118756
86,spectro,age_main,6.750500869799565
87,spectro,age_main,5.913441087701098
88,spectro,age_main,0.12612315582512384
89,spectro,age_main,0.09840521801440309
90,spectro,age_main,0.4267470129781159
91,spectro,age_main,0.6800971066219208
92,spectro,age_main,0.543942693856201
93,spectro,age_main,0.18951943453397035
94,spectro,age_main,0.7099460141721429
