tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,deep_nebular.logU,deep_nebular.log_O_H,deep_nebular.Age,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,deep_nebular.f_esc,deep_nebular.f_dust,deep_nebular.geometrical_factor,deep_nebular.HbFrac,deep_nebular.log_N_O,deep_nebular.lines_width,deep_nebular.emission,redshift,filters,zgas,ne,beta_calz94,D4000,IRX,EW_lines,luminosity_filters,colours_filters
2320.208019920087,7575.382666238507,9359.29923892305,0.1432230251287162,97.52631491267253,0.40580132459266505,0.5605508924325207,-2.0286738661305415,4.6450011039986965,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2876.9308261946753,1218.6325344370816,9948.899902820678,0.19998634572753915,53.08436011420154,0.3878190413736029,-0.03144862007658111,-2.4532182720416693,1.5007736352738492,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2995.9106665559593,4578.293689408803,9211.693898583122,0.19969380844579984,88.92957858665677,0.0022687542352759493,0.947159226236243,-2.012722385621155,2.300682861605792,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2928.2536367370317,1935.6600018958443,8551.305782713796,0.035514430771104444,92.34734498657306,1.0825490632523775,0.6906830588884221,-2.0487360617692403,5.906615032304123,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
1602.9979137868538,4663.021057750572,8398.451253716083,0.05174676822457447,81.04202853309964,0.4926314985320035,0.06550171612853095,-2.0026554283063396,5.69913852975028,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
1501.0297544790662,5234.0118739870895,4407.382298382389,0.18761748965156544,48.129968569336924,0.25751225670075995,0.842627261188696,-2.0017879785467017,4.392445515998578,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2904.2616697945887,6320.556340247384,5644.117007672472,1.0750837810297176e-05,72.21150613982516,0.00967483776584599,0.9739624682424823,-2.240534014493194,4.305570385162138,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2985.406356631249,3694.084064985539,6996.464920208389,0.0702231884715829,23.715805760277078,0.22432466839464493,0.9483323881446368,-2.0013086450778,1.0863492947720959,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2796.539081152858,6302.342528270206,8788.187003700623,0.18248078709495125,97.32070328276066,1.4668807870274923,0.8897802403075156,-2.0272829706764712,3.199258773969332,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
2926.8622526331956,6567.409248539497,8168.004323855452,0.00024531058242602266,88.2698819119288,1.2536565395370216,0.9325000106658852,-2.359904288368989,2.441681023378507,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,0.0,0.0,1.0,1,-1,300.0,True,1.6365,B_B90 & V_B90 & FUV,0.007,100,True,False,True,500.7/1.0 & 656.3/1.0,FUV & V_B90,FUV-NUV & NUV-r_prime
