tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2535.7247858931387,8387.047259953957,1837.350032208693,0.018902023890783493,98.06575992236446,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.658025766204155e-69,0.0
2892.062418498387,9757.23542571232,172.22900393300733,0.11150103084895208,67.10763170650196,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,5.8032071425014836e-83,0.0
1966.4639903371935,8670.270055535057,8570.926736167628,0.1995850612388844,10.889494242158595,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,25.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,3.045587622384539e-82,0.0
2213.463618990205,8953.2695866287,100.30558117124383,0.03802315471292719,89.80401615599523,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.048179505382648e-74,0.0
1505.5420777833563,7726.494849145618,7175.531878942551,0.1165839410294271,23.450623649606044,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,4.947500529531538e-82,0.0
2860.349036870816,1027.6783802891023,6499.956351889588,0.15758274077151924,97.68326802854047,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,5.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.1703862419288695e-82,0.0
2497.97647479514,9999.4569852225,9575.730969991913,0.0634744858548821,36.19820795664983,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,10.0,2,0.02,10,-1.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.684297249684895e-82,0.0
2338.79615954803,7365.414131794819,8828.863653891134,0.1999999961010802,42.827249912262005,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.12,5.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.9190480513638542e-88,0.0
2999.918696852794,9945.406919347075,2622.6067910976026,0.053937578813752024,19.613340128646772,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,10.0,2,0.02,10,-2.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,9.756929811362946e-83,0.0
2932.4857120830357,8369.129661764531,4055.007660039668,0.09829490224390887,45.537339068294344,1.0,True,0.1,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,1.77,10.0,2,0.02,10,-3.5,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV,1.8978229745015878e-81,0.0
