sfh.sfr,stellar.m_star
1.3836403170149328e-16,3.440050192526544e-08
1.0976677202591764e-16,2.90684571054773e-08
2.0052460460726186e-16,4.3159283825425643e-08
2.307682107370822e-16,6.792061938615832e-08
8.294818346159391e-16,1.0669903718461919e-05
1.4371880172792055e-16,1.4490391124494563e-08
1.138535814947009e-16,4.633388056566756e-08
1.4113581509691765e-16,3.7657793316339564e-08
5.529614258449006e-16,2.2932347682227595e-07
1.8721984209834663e-16,1.0243008683692723e-07
3.3772996927999075e-16,9.322320767106496e-08
7.575454758769256e-15,1.83158957166082e-06
1.7895667761878153e-16,2.2364961841261782e-07
1.0387984770434317e-15,1.7621589012252239e-06
3.420848479375964e-16,2.0538671488315727e-06
4.0363218299525916e-15,3.3504803162545848e-06
8.658166781086359e-15,2.269873086046101e-06
3.0067237162807612e-15,1.4242724941530345e-06
1.0982020251226718e-14,3.9760250886302654e-06
1.6842956427708853e-15,6.385341596084163e-07
5.270536710722647e-16,1.2963137562707727e-07
4.79576599936347e-15,1.2229894641993864e-05
1.2683815283935472e-16,5.3020923181074e-08
7.700487701734549e-15,4.78688951456611e-06
1.5280011464928947e-16,4.506240602053188e-08
1.542447820649004e-14,2.542216853683971e-06
6.0154869542585455e-16,9.24984033343572e-08
9.07558131820528e-16,1.310920749394313e-07
2.1296982306478084e-15,6.050391914362696e-07
2.2400960443043175e-15,2.3134640988805847e-07
1.1332787292572528e-16,4.59867067927032e-08
2.699326457853037e-16,6.088340279897696e-08
2.8631847557105775e-16,5.0111366696365746e-08
8.544532246289639e-15,1.1345815773300274e-06
3.3730686897781755e-15,1.5437906109223943e-06
5.701188353641703e-15,4.203031575622863e-06
6.493061183901588e-15,2.6468595027637652e-06
8.82528021398428e-15,2.289933512908796e-06
1.9582403849027759e-16,2.12788616572239e-07
1.314961594282655e-15,7.593016029307073e-07
1.0246061567540756e-16,1.690512567732181e-07
1.8647304969768372e-16,2.1693887627963803e-08
3.87524014107565e-15,3.755485919794046e-05
9.827098314205906e-17,5.6644577975870956e-08
3.904779759624616e-16,1.4244810981552675e-08
2.360879297099985e-15,1.1842108201540294e-06
2.752525862422057e-16,2.1928957682806904e-07
1.0482951696382278e-15,2.4170560894631263e-07
8.789827894411625e-17,5.14039333844985e-07
2.992917579580556e-16,6.948535061540014e-07
1.579828092420532e-16,2.1426764700409216e-07
9.892194576593394e-15,2.4551573276183587e-06
4.204901919708889e-15,1.0483933879809633e-05
8.308610608511662e-17,4.254544490835866e-08
1.597270752255376e-16,1.538267552221795e-07
1.1881598355265145e-14,4.624072466929024e-06
3.647588681046821e-16,1.0253420196689304e-07
1.9584629459305575e-14,4.016995532790398e-06
2.1101178158274395e-16,1.1069566301514635e-07
5.024334594662672e-15,2.3520167660625086e-06
1.4573587191472634e-14,4.322926889314421e-06
2.265203163551621e-16,9.082508069321622e-08
1.3491275538025608e-15,1.3780938547053192e-07
8.764103437186649e-17,1.200063474307874e-06
6.847085034298189e-15,2.518975380876444e-05
5.995739542799237e-15,8.085540962719288e-06
9.667184424038005e-17,4.912025048241935e-08
1.3237479484896777e-14,1.134773624859858e-05
4.526909263830467e-16,1.6868050403226529e-07
8.771735264944928e-16,3.6198741667894055e-07
1.1726969582214315e-15,4.382274559517954e-07
2.1551720691164373e-16,4.919303929599615e-08
1.2284687680766252e-15,4.863286337916155e-07
1.132889711241311e-15,3.19122120481399e-07
5.920816736544385e-16,1.7910897080595078e-07
3.3447016361138315e-16,1.8126836317839263e-07
8.850537009596589e-17,4.706873004115618e-08
1.1066869124021405e-16,4.2003194073296194e-08
2.359314127936137e-16,4.744018839531646e-07
2.909546757672144e-16,4.121387838875656e-06
2.407508303680986e-15,1.8471623560733438e-06
1.7915035121462144e-16,9.908733030431554e-07
1.6946549961321567e-16,5.0111621646395135e-08
2.828931956922027e-16,5.3102759352672076e-08
1.898288115160676e-16,1.1165792430318101e-07
1.3038731468606993e-15,3.221379564942116e-07
2.8217501242095933e-16,8.569924016769009e-08
2.6298633036066137e-16,8.175167211931083e-08
3.2997353682200355e-16,1.7629179471298408e-07
2.8411865286503326e-14,2.2490059829006835e-06
2.5993370365190247e-16,1.253006687118385e-07
1.5883097820204909e-16,6.685681839656149e-08
3.9043637445537245e-16,9.803656893021795e-07
3.066261957956818e-16,9.663471284215191e-08
8.310540002943995e-17,5.959443494550133e-08
2.1884250549850674e-16,9.782752947047674e-08
8.848794384399155e-17,4.2206451410664035e-08
4.666767103082087e-15,6.532020315195126e-07
2.1957165490953864e-16,6.35150327477873e-08
7.229440980961494e-15,2.750181489403453e-06
1.2424218769340157e-14,3.864314416307519e-06
3.325140088658886e-16,2.0264059363144347e-08
2.149154095670559e-15,1.127971950908557e-06
1.5442816670244374e-15,7.474652496223132e-07
2.1605921452107547e-16,1.0445035658851603e-08
2.041058574367883e-15,1.9866143815074677e-06
3.274571701366181e-16,1.169849253820096e-07
5.360125457047974e-16,1.0262881119741862e-07
2.7358067816081574e-16,4.742304253182422e-08
3.211292340258243e-16,2.4685042591989654e-07
6.340637000797665e-17,1.2894621774472963e-06
1.9560428278374324e-16,4.232514649085064e-08
3.45525358890821e-14,1.5812028764754759e-06
1.3058484364980652e-15,2.7840454405688563e-06
2.2359388165103e-14,1.2996587368499898e-06
6.754939953582963e-15,8.865929482637095e-06
3.5481662483683778e-15,3.4076908860568184e-07
6.210915772378652e-15,6.296860219028091e-07
1.1208167715437822e-15,6.900134516842601e-08
3.521848128551228e-14,1.982907514385425e-06
4.903014411579398e-16,1.0851575549660963e-05
8.100575260749942e-15,4.583722410448647e-07
1.1104033372796527e-14,5.139704622916072e-06
9.536798915615643e-16,2.0968573895333658e-07
4.4027955057615576e-16,2.7294477344865055e-07
4.3237923386721914e-16,3.269148236620741e-07
1.6688022871430196e-14,6.10416380348358e-06
2.2006846956691835e-14,6.018427848433254e-06
3.301668162142308e-15,2.930558067032901e-06
3.991462390367031e-16,2.1891765327767187e-08
1.6701189066154377e-15,5.183868192442508e-07
4.455092640642185e-15,1.4210145775733004e-06
1.9171509722080433e-14,2.0425298409871823e-05
2.3507589526528582e-14,2.9251675734401932e-06
6.37595654260524e-16,3.0419214694236563e-07
4.2982383458282705e-15,5.500920417737845e-06
1.2945416462800225e-14,4.546208137716858e-06
4.4093877723065508e-16,8.995475871965049e-08
3.3924740600420333e-16,1.0035631056457345e-07
4.296801211543532e-15,1.8145676313195527e-06
3.2407077234311006e-15,2.874572098194379e-05
9.63710344226577e-15,3.1739631412421676e-06
1.351757772147822e-14,3.0202991753924386e-06
2.5938304598291883e-14,4.331385515792056e-06
3.8601990711709125e-14,2.9469588717421913e-06
3.3000064173699646e-15,4.5514960151043553e-07
1.9428393625117345e-14,4.239915222735896e-06
6.205818863613977e-15,2.377884653962585e-06
9.247997867356055e-15,3.854646049344507e-06
1.1569772694954105e-14,1.5967591894568983e-05
1.0166041115334496e-16,1.4055384862014322e-08
1.2648557280547993e-14,9.876216850281603e-07
1.0330629967766017e-14,1.095906478241518e-05
2.5021793666323986e-15,1.5351210393835306e-07
1.43304933627667e-14,6.349532064915179e-06
1.377086698071224e-15,3.1226842238481276e-07
5.3231905351473785e-15,1.4931185090035667e-06
8.111243848252074e-17,9.258585166546062e-08
2.7499899148616815e-15,7.801426076191739e-07
2.707583543680469e-14,1.5050376671907432e-05
1.620523792672752e-14,4.533236097345973e-06
9.97742652395633e-16,2.562671228552658e-07
1.8652223842117364e-14,7.956917683312102e-06
1.8143107850009185e-14,4.828544799443414e-06
1.507563343996359e-14,5.614579053193191e-07
6.544031790157159e-15,4.387051154292622e-06
7.305669448014302e-16,4.381060714876258e-08
5.4084224252672495e-15,1.695254253983383e-07
2.7335454102016128e-14,1.210922445525161e-06
2.470453549378846e-14,4.359666724060676e-06
1.508495453956794e-15,6.796836548158002e-08
1.0530914333832107e-15,3.3344912335448287e-07
7.40064566041412e-15,9.305579127651811e-06
6.872305606614343e-15,2.42419291970814e-06
1.7246507312356871e-15,4.1454127022652864e-07
3.680998545704861e-16,7.318431885386782e-08
9.772495466994315e-16,2.682083523965592e-07
1.1174373806752572e-16,7.182289632818778e-07
1.2693746680058368e-15,8.890776998886435e-08
6.178481416547868e-16,1.7061047288181324e-07
2.957645760112389e-14,2.583661283841418e-06
9.182956174305319e-16,5.26467962260098e-07
2.744116113814127e-14,9.200589491017797e-07
3.891848620388702e-16,1.0135695734425906e-07
1.4545286851801023e-16,7.675409096937808e-09
1.2322155816810531e-14,2.1292116399906294e-06
5.851518475135311e-16,5.4903383830025484e-08
1.3853927129078816e-14,3.170451898509622e-06
2.845925921321016e-16,3.017019244827135e-07
4.808128712050475e-16,1.2350640853796923e-07
1.9195338532999995e-14,3.0829260077247626e-06
2.0091955570408774e-14,2.3124603954780547e-06
7.498714764139644e-15,1.6946992271421652e-05
5.410012048514431e-16,7.125403975536948e-08
8.598214265161818e-16,2.0560228456756635e-07
1.5259928134237567e-14,4.572071251819805e-06
1.0397241070719117e-15,2.173780234745601e-07
2.677579116012006e-14,4.239781067454223e-06
1.0127727571180405e-14,2.222036255670132e-05
2.4995832916850104e-16,4.006562524821951e-08
1.7698816275282765e-14,6.758813213451872e-06
5.413595891870574e-16,5.6407729692823334e-08
8.162688193766873e-15,3.325859903740201e-05
3.752718726495946e-15,1.7631070545481716e-05
3.447904778818605e-16,1.031041847882232e-07
1.7478589599200493e-14,2.7023557314004603e-05
1.5759706546507105e-16,4.5114042196955605e-07
3.670743604535028e-16,9.656308574292514e-08
3.6442940328012133e-14,2.1072555307265594e-06
5.982020879331879e-16,1.8297967801126708e-07
7.350383089081806e-16,5.735223838904996e-07
3.737287602450275e-16,7.232498805172112e-08
8.797061178510462e-15,2.7919543770280106e-06
6.432672529450366e-16,4.697671167365592e-08
1.6659349339248716e-14,5.250817892190322e-07
4.04306945180942e-15,5.575381142012383e-07
1.4144983631474056e-15,2.037834216036295e-06
3.364108172888512e-14,2.376997164239263e-06
3.3948933681311246e-15,3.748275808183098e-07
5.387702054123476e-15,4.399110629732671e-06
1.0733774755106783e-14,5.339306268885403e-07
2.5804981990666272e-15,4.414004968300054e-07
1.517047704168163e-15,1.395129780161173e-07
1.1111436470337932e-16,3.625251824391417e-08
3.2852864210810735e-14,2.628524376570865e-06
2.220829040090749e-15,1.5571865261365304e-05
1.4244724240327755e-15,1.3127279082594354e-07
1.137560016395634e-14,5.119475897477315e-06
1.4786010861450188e-16,2.075728521229411e-08
1.670754947371732e-14,4.018180086382126e-06
4.770386701111976e-16,2.1612162696930025e-07
4.000927073616531e-15,1.0764409120563977e-06
4.836026666118302e-16,1.6673261945487666e-07
1.1353855367261364e-16,1.6932591060333166e-08
1.6986987541355836e-14,7.67377883720624e-06
7.146086860283177e-15,2.891641092923495e-07
1.3313275457087666e-15,2.066890580007109e-07
1.0141683111824104e-15,4.844927253244224e-08
1.8024032002778338e-14,4.262172829975819e-06
1.5398031307096452e-15,2.7794303059128013e-07
3.2081830940375947e-15,3.40552175843733e-07
2.2499293799863097e-15,1.1212553775658097e-06
2.433095734952593e-15,6.515196713659313e-07
1.3340775305301522e-15,7.343045852044683e-08
1.2312105916130433e-14,2.440612869168937e-06
2.3118379335822234e-16,8.67243915572182e-08
4.828474627338603e-16,2.470377176934829e-08
1.4775780555165212e-16,4.184169413506359e-08
1.1821264457184727e-14,3.06849598758029e-06
1.1210305173881741e-15,2.0292626870233806e-07
3.9798608284279996e-15,5.775604546028083e-07
4.070170460708058e-16,1.0741312115341091e-07
1.012685164055826e-15,4.821871135401495e-08
1.942468636367023e-15,5.671312320200106e-07
7.28313121660403e-15,2.2162822644162564e-06
6.424696412933377e-16,1.9910754687754398e-07
4.128933325397928e-15,1.8328529604274311e-06
2.7521098059162774e-15,8.093049393472527e-07
3.453285345679275e-15,3.5967934159960985e-07
1.0593564529697487e-14,1.1111223713828582e-06
2.954539308138721e-16,1.1458416718260838e-07
1.5250246321984888e-16,6.503076377561787e-07
8.207080195310231e-16,1.5578283500836995e-07
3.6843244527315813e-16,1.0243147928230298e-07
6.358385955175041e-15,1.9787242682741458e-06
1.1963105116857298e-14,5.37649727022149e-06
3.2746036987961646e-16,6.16971002447607e-08
1.4741673754753874e-16,2.3106079658889364e-08
1.011161120554549e-14,2.1684993479210644e-06
8.762951658302041e-16,2.8079266439006205e-07
8.466586192542713e-15,1.3341874247541e-05
2.2655538752026207e-14,6.51387763254097e-06
3.3875733355858324e-14,2.0384957500217447e-06
3.9569896455311334e-15,6.752793042196666e-06
1.7038971287336288e-16,1.883323918164814e-08
8.41035084114324e-15,2.3347779322870604e-06
1.5190775384469649e-15,2.2519986132896126e-06
5.687980701298894e-15,1.5999934268581024e-06
1.6303816108016982e-15,1.1706933469801606e-06
1.3431077032846169e-14,2.5345681531653275e-06
1.2690288780916253e-16,4.0211270880379247e-08
2.299850257685471e-16,2.532590489293804e-08
1.8899897049438e-14,1.4790650528343515e-05
4.609105213606081e-16,1.447292222730726e-07
5.996895434058359e-15,3.2217271767613504e-07
2.1161068246847967e-14,1.1831369785766392e-05
3.0685836736084954e-16,2.1165617310005745e-07
1.6297032213029172e-14,3.759342771040502e-06
4.827618062399195e-15,1.4050050930423557e-06
8.553654261927786e-16,1.9474419745488847e-07
1.6724440556656078e-15,5.17542111718318e-07
7.408877740588302e-17,1.4408108375620822e-08
9.35254056253071e-16,2.2040779389623814e-07
1.7693091236291335e-14,3.299602733004006e-06
7.545941587580753e-15,2.0386732367103925e-06
1.0923333297896196e-15,8.234095576387113e-07
1.5020373493340245e-14,4.286619251415782e-06
1.5258299440096674e-15,4.818436849621812e-07
2.22303001335677e-15,1.134558294659734e-07
8.404308859082369e-17,4.029675453771914e-07
2.776597042015932e-16,2.0148334901636208e-07
2.8871098108111886e-15,3.70932892369615e-07
2.5053607667712906e-14,2.668409110446456e-06
1.809051167019397e-15,8.622848818662753e-07
1.394530648594348e-15,3.8879578820618233e-07
1.0289888625321925e-14,4.32457312081795e-06
1.44723327102216e-14,8.648382926892004e-06
1.6085523283201663e-16,8.82654085764675e-08
2.9837971083363427e-16,7.460519250448924e-08
2.4428832324281247e-15,8.284628661177961e-08
3.579280650318142e-16,4.0667252223569556e-07
1.0155144974391298e-14,1.2158703876010117e-06
3.474730056996393e-14,2.835712586971273e-06
2.334062678107417e-15,8.010703971136003e-07
1.50734340839339e-14,5.739940817427443e-06
