sfh.sfr,stellar.m_star
1.59108010734927e-16,3.955793541359303e-08
1.2657773731824622e-16,3.35203400795556e-08
2.352731359276285e-16,5.063827488844098e-08
2.4150489636917503e-16,7.108068348665533e-08
8.082096986048439e-16,1.0396273081053813e-05
1.6615140583969748e-16,1.675214952779635e-08
1.3000250043467028e-16,5.290584845289655e-08
1.631831893688805e-16,4.354046358633046e-08
5.401910435616694e-16,2.240273597177865e-07
2.0855092242430048e-16,1.1410056142778384e-07
3.429448780455871e-16,9.466267282684398e-08
7.657300983493984e-15,1.8513783099556526e-06
2.0146114025093909e-16,2.5177438328439767e-07
1.0584439149098839e-15,1.7954843093480439e-06
3.599965962492618e-16,2.1614087475234298e-06
3.95734911925671e-15,3.284926447198763e-06
8.657383750768106e-15,2.269667802469347e-06
3.0542438804880448e-15,1.4467825979020445e-06
1.0744745375994994e-14,3.890120051556819e-06
1.6718097211972174e-15,6.338006156648707e-07
5.97646690095654e-16,1.4699406688213063e-07
4.692637725856542e-15,1.1966902677880531e-05
1.4381859494435577e-16,6.011909274816166e-08
7.555694585220481e-15,4.696881104960273e-06
1.8093141350601852e-16,5.33586302339523e-08
1.512904399564733e-14,2.4935242613055135e-06
6.794896953807099e-16,1.0448316550727404e-07
8.045047358986452e-16,1.1620654526668768e-07
2.0715741423190463e-15,5.8852635835066e-07
2.257773060061521e-15,2.33172007564266e-07
1.336981578097999e-16,5.425265491353088e-08
2.7533976207230407e-16,6.21029797713161e-08
2.771362826561123e-16,4.850430227162033e-08
8.387989475793863e-15,1.1137951213428264e-06
3.2699145485509456e-15,1.4965788849391768e-06
5.94269641349966e-15,4.3810762109491175e-06
6.502742189765635e-15,2.6508059098038036e-06
8.66296439974583e-15,2.24781672866088e-06
2.1675260842194755e-16,2.3553026502831771e-07
1.2968321479827624e-15,7.488330708491569e-07
1.1025702627947511e-16,1.8191466777509077e-07
2.2032203937607487e-16,2.5631808842818302e-08
3.774368730382325e-15,3.657731677791523e-05
1.151685096455638e-16,6.638451571765046e-08
4.58351128059647e-16,1.6720853887592346e-08
2.30460876395113e-15,1.155985669341547e-06
2.5479823777144106e-16,2.0299390643425537e-07
1.1061348461305868e-15,2.550417137312541e-07
9.595394836858315e-17,5.611498233149918e-07
2.883938147974178e-16,6.695521945953399e-07
1.6272864398058674e-16,2.207042893664765e-07
9.663262515989871e-15,2.398338365782787e-06
4.1167569758473605e-15,1.0264165195324386e-05
9.655451692690734e-17,4.9442139897115605e-08
1.753166786990459e-16,1.688404785633472e-07
1.1862722390936755e-14,4.616726331810853e-06
3.42711711341904e-16,9.633671693779258e-08
1.9445773353667942e-14,3.988514812376149e-06
2.0668812840024671e-16,1.0842749745541253e-07
4.877588488239946e-15,2.2833212410814982e-06
1.451816648047527e-14,4.306487581774847e-06
2.5548856752443827e-16,1.0244012605570654e-07
1.2368703341569803e-15,1.2634264282608337e-07
8.533173343786918e-17,1.1684423538825212e-06
6.6839466584769556e-15,2.4589583735935858e-05
5.851638506343313e-15,7.89121383681305e-06
1.1275740935751766e-16,5.7293540170990656e-08
1.2976008772996153e-14,1.1123592318572679e-05
4.402443591500962e-16,1.6404269683983874e-07
9.634531186179381e-16,3.9759283079773436e-07
1.2808115913336979e-15,4.7862902797583e-07
2.2854797341559117e-16,5.216738653198483e-08
1.2108576828189747e-15,4.793567226974899e-07
1.1107011969573389e-15,3.1287186888287914e-07
5.712493689254788e-16,1.728070485787523e-07
3.161662516722052e-16,1.7134843453318407e-07
1.0265850608211937e-16,5.459561949708083e-08
1.289120029857133e-16,4.892726044833407e-08
2.2228681543108634e-16,4.469658481242778e-07
2.855093461570001e-16,4.0442544668993095e-06
2.3638378831454505e-15,1.8136561967118971e-06
1.7892481434816288e-16,9.896258678117351e-07
1.8878829886060855e-16,5.582545016750782e-08
2.7418221832683075e-16,5.1467594768285106e-08
2.0358640438863191e-16,1.1975018517385913e-07
1.4183385740370718e-15,3.5041805328784076e-07
2.623981861559558e-16,7.969282957414421e-08
2.65486507059998e-16,8.252887459019292e-08
3.225186964161851e-16,1.72308968674575e-07
2.937219935797034e-14,2.3250234161291365e-06
2.5248089823234306e-16,1.2170805455780617e-07
1.8459167838834122e-16,7.770028529212066e-08
3.8310742311410233e-16,9.619630687892445e-07
3.4770424624495734e-16,1.0958065700383827e-07
9.577693750886563e-17,6.868112625207849e-08
2.1400429297317254e-16,9.566473948903149e-08
1.0246580009869798e-16,4.8873525875402776e-08
4.9781856228451575e-15,6.967909240587856e-07
2.4630896622302307e-16,7.124927879317706e-08
7.083000197918568e-15,2.694473346563775e-06
1.2180373944422716e-14,3.788471170968368e-06
3.4538819606575346e-16,2.104863771688078e-08
2.171755489493293e-15,1.1398341707162662e-06
1.5683333265413788e-15,7.591067655896049e-07
2.5432906845944794e-16,1.2295130272642547e-08
2.133634408573444e-15,2.0767208027157698e-06
3.540277597123042e-16,1.2647733758837747e-07
4.829526462659445e-16,9.24695818187411e-08
2.873191425902772e-16,4.980449646833844e-08
3.128763309922903e-16,2.4050646089571124e-07
6.353611300308005e-17,1.2921006928670111e-06
2.271686069131011e-16,4.91550820303337e-08
3.631741314961321e-14,1.6619676866166557e-06
1.2694992371982143e-15,2.7065495997418364e-06
2.255558459019426e-14,1.3110628234075331e-06
6.588775212167336e-15,8.647836518078579e-06
3.4167049054306025e-15,3.2814342259006406e-07
6.067912630650479e-15,6.151878250612282e-07
1.3198090887491025e-15,8.125199836523466e-08
3.565203740534976e-14,2.0073180413744804e-06
4.7754141350015e-16,1.0569164786565415e-05
8.75805845103083e-15,4.955760239463855e-07
1.0837804485650893e-14,5.016475720761598e-06
1.1097812597903987e-15,2.4400776989717246e-07
4.195627671611944e-16,2.6010171101619915e-07
4.058896857134791e-16,3.068865122047598e-07
1.6295807686822635e-14,5.960698891462369e-06
2.1524595840991638e-14,5.886541915369787e-06
3.3235325122632176e-15,2.949964847024284e-06
3.6848993796808064e-16,2.0210375192584284e-08
1.7804301602338834e-15,5.526262375656684e-07
4.595772400499243e-15,1.4658863693970425e-06
1.86579791832877e-14,1.987818372514021e-05
2.314211784410328e-14,2.879690094210151e-06
7.262105911321218e-16,3.464696745854869e-07
4.263666292563188e-15,5.456674822592212e-06
1.2817310898200248e-14,4.501219661529578e-06
4.2726519002934776e-16,8.716524620444164e-08
3.1686974440854923e-16,9.373654128393627e-08
4.400473124526645e-15,1.8583489673214978e-06
3.155294449542114e-15,2.7988088282883828e-05
9.445120132898332e-15,3.1107337745225427e-06
1.3266261702979612e-14,2.964146395724797e-06
2.5751391412229685e-14,4.300173257344225e-06
3.7598458448208526e-14,2.8703470635821086e-06
3.673900270812482e-15,5.067184825604275e-07
1.901557298425074e-14,4.149824165634446e-06
6.0936756769551705e-15,2.3349147303372057e-06
9.054110181743812e-15,3.773831973467617e-06
1.1272060292393445e-14,1.5556715184077187e-05
1.2000027641031315e-16,1.6591021513289942e-08
1.3105888770876067e-14,1.0233309352672257e-06
1.0317515690810961e-14,1.0945152735311214e-05
2.3929701909802554e-15,1.468119726259057e-07
1.3999071501281412e-14,6.202686196929758e-06
1.3350859406298188e-15,3.027443232241975e-07
5.226813905292307e-15,1.4660855240067215e-06
9.351125765407555e-17,1.0673849279080175e-07
2.8354330831187393e-15,8.04381916907934e-07
2.643287713157184e-14,1.4692981802202593e-05
1.6074597249368538e-14,4.496690812601424e-06
1.056837489782695e-15,2.7144544956748997e-07
1.8175871093670745e-14,7.753708691199814e-06
1.8231197723415364e-14,4.851988737694526e-06
1.470642627819666e-14,5.477076187724836e-07
6.408027423125353e-15,4.295875234842911e-06
6.01799761930963e-16,3.608870226032809e-08
5.728511125634536e-15,1.7955851246665962e-07
2.8199728075015785e-14,1.2492085756579452e-06
2.4087778573058583e-14,4.250826198610745e-06
1.4662040622408571e-15,6.606283983923654e-08
1.1608086065107302e-15,3.675565102450984e-07
7.327230896822633e-15,9.213267331750998e-06
7.008595213758113e-15,2.472268823135634e-06
1.6996407717683688e-15,4.085298151660205e-07
3.493639917353749e-16,6.945932047991576e-08
9.36245811457617e-16,2.5695478435096034e-07
1.0912113875563729e-16,7.013722980453581e-07
1.1902127298757047e-15,8.336321993241562e-08
6.929756517946158e-16,1.9135592660618676e-07
2.918888003668465e-14,2.5498043168837134e-06
9.759350689533178e-16,5.595132300507677e-07
2.686900203693411e-14,9.008753548389242e-07
3.734546968686266e-16,9.726028803439402e-08
1.6812014216454142e-16,8.87153950070374e-09
1.2454445459216407e-14,2.152070679484072e-06
5.615794608800839e-16,5.269164375499136e-08
1.3820375414653868e-14,3.1627736354650916e-06
2.7430315150823703e-16,2.9079389622093253e-07
4.610245684779326e-16,1.184233869566983e-07
1.9185876458774403e-14,3.0814063223768336e-06
1.9790811926472937e-14,2.27780061597022e-06
7.311464793825553e-15,1.6523809912904417e-05
4.653304042888944e-16,6.128761050668595e-08
9.797313460988775e-16,2.3427539348089882e-07
1.489023434390333e-14,4.461306224888174e-06
1.0629232677474571e-15,2.2222833680250694e-07
2.6204252146769193e-14,4.149281396552778e-06
9.854619412366551e-15,2.1621159797406605e-05
2.9597879130786265e-16,4.7442209161062666e-08
1.7493356115974274e-14,6.680352212559305e-06
4.734254071664469e-16,4.932923131048929e-08
8.015632809658416e-15,3.2659426811261e-05
3.657915491034742e-15,1.7185664786570223e-05
3.1669320222741635e-16,9.470213517560546e-08
1.7151004465043945e-14,2.6517079626096722e-05
1.7710844125181092e-16,5.06994065434683e-07
3.816112083553835e-16,1.0038716893044876e-07
3.870974964986981e-14,2.2383302035601223e-06
6.788957255028559e-16,2.076624668511901e-07
7.462815584753128e-16,5.82295063104996e-07
3.588416957941919e-16,6.94440035702861e-08
8.599733729544152e-15,2.7293278675983536e-06
7.452788064734885e-16,5.442644165065697e-08
1.8236481479920898e-14,5.747910155156418e-07
4.310993837167241e-15,5.944848098594262e-07
1.4038423685848525e-15,2.0224823776098866e-06
3.3821054323621327e-14,2.389713590862406e-06
3.345563086931113e-15,3.6938106219217015e-07
5.451482742282932e-15,4.4511881760474806e-06
1.037156125923015e-14,5.159130251283684e-07
2.579781848326475e-15,4.412779632925963e-07
1.44771104954523e-15,1.3313653833953837e-07
