tau_main,age_main,tau_burst,f_burst,age_burst,E_BV_lines,sfr_A,normalise,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,zgas,ne,f_esc,f_dust,lines_width,emission,redshift,filters,weights,MAP
2422.2242821069767,1000.3075517069174,419.48639593771986,0.14401614196862486,99.46424923130783,0.07315720493289612,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.12,10.0,2,0.02,10,-2.5,0.008,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,3.5895078617676716e-07,0.0
2998.858845683063,1000.4248356814896,222.5767612735781,0.13082570887658534,99.99611442579867,0.0010205643696896693,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.77,5.0,2,0.02,10,-2.5,0.008,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,2.2036148704971285e-08,0.0
2790.6344477493,1018.1057713976661,9948.097710120626,0.14660599974271887,84.59920091098503,0.3071632546122409,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,0.47,5.0,2,0.02,10,-1.5,0.007,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,7.20644135535157e-05,0.0
2927.8210599714066,1315.522382224637,9507.129476155811,0.08653745442343178,79.61635178460543,0.06712235239975972,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.12,25.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,1.257377544903828e-05,0.0
2045.4744496077276,8991.356187638576,9930.24925893261,0.0008559951949037026,68.43082680460424,1.2786064806442925,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.77,10.0,2,0.02,10,-3.5,0.011,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,1.618948252497326e-05,0.0
1553.5598616292339,2579.3715611824327,222.65544129171576,0.05939708685873979,10.406857843991702,6.886912342252138e-05,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.77,25.0,2,0.02,10,-1.5,0.014,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,0.0004033069605131597,0.0
2858.630510997771,1070.7768513394421,1024.7441668315987,0.0005325028721361036,99.61591214007025,0.0333291506301554,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,2.5,25.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,4.9014403948409375e-08,0.0
1756.8082514762766,9906.9641084003,9679.669377655,0.19981662088950175,93.06887301097703,0.029062379714200448,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.77,10.0,2,0.02,10,-2.5,0.011,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,2.3409816376448166e-07,0.0
1564.3028812966409,2752.344032983662,112.38590527642737,0.19516478916941524,99.99583248260552,0.3988883428002452,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.004,1.12,5.0,2,0.02,10,-3.5,0.007,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,5.233623000007029e-08,0.0
2379.7857161102916,3246.4734527515957,9996.39474276658,0.07934874206689502,99.94195875824948,0.035752899728136445,1.0,True,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,25.0,2,0.02,10,-2.5,0.011,100,0.0,0.0,300.0,True,1.46399998664856,B_B90 & V_B90 & FUV,1.2737097732101385e-07,0.0
