tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
1981.43841321179,1000.1074462559718,4111.669724413885,0.1940005103328553,98.67348946233716,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2986.725755142239,2890.3777349585325,1135.522823075249,0.10765423737814996,29.16167788119421,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2738.165213939721,1002.4542330358927,4240.235159795538,3.5318225955205396e-06,39.45841051768349,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2989.0899595941682,8379.186120742625,760.6837746558922,0.1664136561898397,34.67273288227226,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2333.0068581605055,2871.2367957903107,7907.802916876562,0.19986214941834712,92.8622143509187,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1949.9506119116688,1854.9059431538744,9329.323599127049,0.1216963105960215,53.885722022242604,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2990.4116363523226,2025.0409492664803,2297.0644857936695,0.1989381354615543,55.59757841974411,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2242.534220078177,1021.9006632451765,163.21077833388154,0.1996938705377632,98.93002696796057,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2289.9226697896956,1302.8111134742358,691.409409557049,1.0753486989756311e-10,42.60215500321134,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1735.0813512386944,1042.9140374228118,461.11465471260635,0.17378756109030438,32.393358724166234,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2983.8031803391914,3683.633723163279,5740.724595332909,0.13353568661394577,10.033488920098506,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9793559499108,1149.8463693394915,9835.153955624643,0.183629907563766,19.51229890626334,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2702.460441926451,8407.07125951595,7198.650598060825,0.054732321863820294,97.42366126285522,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2580.541236851702,2387.442280728267,6817.899263388857,0.00017004783112012367,38.99560405751901,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9940362421635,1930.0264739062613,6880.218521524446,0.03675159783015419,97.99600197474548,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2814.717378939221,1313.2150619282656,250.6400829166705,0.19920525955004023,89.91593277213342,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2943.8720511476554,6184.383594653429,100.97550187664274,0.0899631299543035,99.78407206931936,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1896.053679743895,1000.0176465768691,170.09415646464004,0.19986584864326676,93.69125918250403,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1662.4768110121738,6512.702978490582,850.843541411723,0.044344799344431696,98.87627497078608,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2783.8000663560933,9999.986721720226,8677.087719074105,0.1688836009924139,99.76830408145186,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1546.2600854827606,9440.964166775171,5433.660541542276,0.1272814935662749,12.829794560770821,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.5729985047924,1014.0939125333571,2549.525581132287,0.1977114735891357,49.136603843886725,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2595.6130392302944,5857.687506068427,2238.3645918351913,0.17860232568616313,70.29410330913191,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2138.1498699168205,1001.0215858764313,9311.353405560003,0.00018134257702367984,99.99735276291635,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2833.642833461115,1225.6050548489802,1334.9989763230424,0.19018458643826022,85.6518480311535,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2947.595319427366,5790.475422536925,261.5859450475473,0.09656639227821572,97.01726278794172,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1911.718795310317,1634.4990638523414,289.0431995180297,0.06063941484001001,98.27894272002253,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2959.7105148157543,1114.6234448586092,521.0245445912678,0.14591475308962634,70.07868575554853,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1657.3407525910225,5804.151151023719,628.9385860390103,0.1645309571223876,86.0105657836411,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1758.7598520246077,1080.158435277188,288.5269307043036,0.009182780718797467,75.31633002649183,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2118.033302038558,4093.180939626868,1189.3169545579785,0.15767155965059804,71.22089540475528,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2206.944748918409,7151.088301238093,100.08883974914897,0.197953953484034,99.72300710518061,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1721.2984431935263,1093.742947356759,500.1066724941993,0.06079481252597663,77.01311998612505,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2991.019793498951,2278.525611390168,6973.282372042298,0.026543574348347976,83.21965804489517,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2987.3166483497484,4157.194769267165,929.396098421741,0.1879271087041465,98.22911912231314,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2556.4209980816827,1776.392245107836,5885.57265125524,0.1835830379267623,63.34061991134162,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.605253999025,9396.375893550805,7216.842046549897,0.16553529120782923,58.507414032728356,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1582.772712747664,1068.825194516281,3555.678954423038,0.1456984169460582,99.20553907933302,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2758.697983369738,3970.2115014995506,1193.9932315304013,0.1955370287462425,45.65837752668116,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1567.4214182572446,3035.741202972874,959.408479294183,0.053522968847062175,91.76070341953574,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2573.8433869943624,2513.0588687661957,2101.0088765992386,0.1944407182239309,75.13386071843547,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2307.52198702013,1002.4922161865888,198.9885976160458,0.00016099411050646273,97.7786241288006,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1935.6739335889206,1938.7765831447086,100.04100091182409,0.1951769910203994,98.3553936945562,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2965.6318889468503,9972.257636973947,6010.9116258053,0.19412658578182568,68.18406886371768,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2464.7254821952774,1000.1258380486161,203.10413443811558,0.18846392374068754,98.72438341374034,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2313.790462232919,9198.931385067457,100.6163421531146,0.014223235988787247,93.36963451260361,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.935240429978,1004.592539663603,3272.257930354819,0.011673208798618218,99.96945155314782,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2965.629402099926,2542.016923474808,2354.7821383428,0.18245372101154222,39.6171127172465,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2996.261277551032,3196.7965857904,1993.5255229223212,0.07522207992292587,34.79678121407005,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2997.2611227587586,9613.376469902982,119.8172859942697,0.09997901769704842,97.60307792774934,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1563.012279103096,2143.9620873238437,133.558296132569,0.13533179119069277,10.151081328765159,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1503.9601934012164,3871.922268791117,257.45631210441934,0.018846255205912238,14.160568156421789,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2959.0660826035405,1164.8995466964025,206.94717014540038,0.1995613059850751,99.72135126968266,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.88377556223,3986.6767492071494,534.8962728348706,0.0005118566680720193,74.09196890278156,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1507.6290376936613,9385.779861105586,9936.11608747296,0.09194666869197042,55.81647124818333,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2431.1806949977768,9966.819135521608,3846.3791933525054,0.19608008777760064,38.663499094850195,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2025.7076950655996,7896.0796044324925,6683.16715821113,0.1898431085418265,80.84231598830135,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1620.3653123377308,8108.645057145906,997.0164124050134,0.15291619555145078,98.23247373510719,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2503.0366590792487,8323.420499233209,6927.892581950251,0.1939546075971245,10.298204015652189,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2362.924998027978,6597.294422120873,2099.484316344153,0.09977985760858343,87.20616881099838,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1812.2288368578736,1120.8935262541036,6786.435825211021,0.15763062830354524,89.00759684714843,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9830833188116,9617.968507693222,122.93464442018012,0.00023153432015360353,88.16456325349381,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1840.9780469749583,1673.729178065465,100.00003346495396,0.003264050504811211,83.66165228940251,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2957.508877071651,9730.13740404491,2150.651229063814,0.17341717053313946,99.92687418613764,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2872.1759570023796,8509.975840831137,103.50791460400251,0.008464254528873644,78.27303133181043,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1515.5659665033247,2352.0972833617807,8494.982877183582,0.0004576185712664438,46.27462192360577,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2969.541972144139,3553.7039286519794,8552.066662401707,0.19720339594026845,26.179727442089117,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1501.6807255114065,9422.787234784184,843.1340116965785,0.16474368027910657,94.34803201133751,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
