tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters,weights,MAP
2994.235306665268,8187.83316136654,1146.479377775955,0.1996045185792104,17.749173101885006,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.5623078137484636e-05,0.0
2935.8081870853043,8952.069237226146,7818.557454805983,0.09544426509335116,96.1294194193299,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0006424303239040551,0.0
2971.423319186827,6189.90868530188,820.2591139268352,0.0005260023872235842,10.18224442507075,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.0622293506116977e-05,0.0
2989.6267623930885,8139.981626264607,8410.835036603921,0.009136964704265782,10.189716154802866,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00012665480333893145,0.0
2118.5943798180406,1488.583988095128,100.00514858225688,0.00343490769513477,52.83643368026777,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1165993851680207e-06,0.0
2981.837300098857,8073.5891557588,100.26928069017777,0.1996940972602827,65.93633175581851,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.0812136301205523e-06,0.0
1518.5626762094792,9858.342032716504,3020.0374851977767,0.012605478857273061,99.87328312950243,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.919592640208665e-05,0.0
2980.2274324869454,9842.646506927236,3741.7847432333856,0.11129224515040169,36.64352567957135,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0007294585093722335,0.0
2779.576063194099,9707.135520109103,461.57826276478045,5.8345375981150305e-06,23.662720408028235,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.6950276042140007e-05,0.0
2781.3664553315753,9377.793612306745,9997.088946543447,0.1140397907002875,99.95995389667631,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,9.188326433965463e-06,0.0
2025.7526770088605,8646.042391097335,273.60077245465436,0.05921993562019265,88.21445262251405,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0004889669929629602,0.0
1642.2202103755142,9905.399699696038,7016.462232352817,0.17582732339245055,13.649204333133213,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0008890421819500921,0.0
2621.455180976028,9758.58555123159,3732.9517419834947,0.0478999013702274,10.496996446083372,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.000766065281625754,0.0
2462.297995510177,4970.245050389063,1630.1595123311345,0.003496504625127461,78.57609691068498,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0007237958104363391,0.0
2737.5865289721983,1005.7438385528258,3011.1974045182887,0.03599969554220425,99.9843087862789,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.0532216639900589e-05,0.0
2992.348192229446,6346.236796179581,1421.5952423874314,0.19909009414254233,86.89675935760371,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.400335229857839e-05,0.0
2897.40698160019,5532.035477542443,5308.3003113922105,0.01162136813781639,79.21340644788262,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0004600967608285023,0.0
2962.24017684152,9860.287064377946,9912.795841133064,0.18380661937504916,13.281450800868896,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.56448830358051e-05,0.0
2567.201086227927,9263.269842226664,8375.365730720485,0.08719309466508891,16.93460595267969,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00022476758168060354,0.0
2977.072801072905,7448.975941812427,3257.778311631643,0.007880455157555588,57.47977242033221,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0006529161686251349,0.0
2652.0042545271676,8461.029266482445,5947.6182214082,0.005467592715659497,97.90734461793521,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00036968098759259705,0.0
1645.375733091154,1292.3246422133143,6463.121434537645,0.10906384304543214,24.280146602384434,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0008223052874046247,0.0
2762.9884932333975,9825.815358837877,9974.082498398815,0.19821741185164718,20.42049298472007,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,6.679656994571193e-05,0.0
2998.596756652924,3217.2266901723933,6684.756549527102,0.0026415834952373263,99.94888296946421,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.620638918338917e-06,0.0
2189.000499586628,9712.2174709484,340.5724291627357,0.18095786604778807,86.5311559049966,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0008586280597850971,0.0
2412.058017384017,9373.471751247116,6240.419193660986,0.007273664773064542,78.8043269632207,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0007892434425017696,0.0
1611.8656050537018,5216.793350469277,2837.0598332293775,0.1520303806076773,17.09930428466147,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0014184095186468724,0.0
2479.990945184413,3480.266403427244,2724.335537537777,0.06669494252901406,10.099111320336704,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00027179719939860055,0.0
2996.2046743965348,9994.14215567196,6022.730769918275,0.19999987877063002,89.842486515784,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.902373486115356e-08,0.0
1520.0354845136783,9887.952924202926,646.1045357339772,0.00013782942758025496,11.481902480954403,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1649742388494371e-05,0.0
1645.2776486442688,9999.852650355275,7321.15193663331,0.14873907883569024,65.70731957811151,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.972612015982971e-05,0.0
1652.7193535714675,1987.7181466088932,9701.653060415258,0.19164153560421657,98.28173228659422,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00021008588289275824,0.0
1777.2899737953023,9395.158923903997,5931.354690979607,0.18441186541693258,52.96514501078118,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0011935698839203716,0.0
2030.9535216431473,1053.2129860283694,9866.517673539369,0.19095078963926707,68.70930918051407,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.571708228900473e-05,0.0
2127.4284044065585,3230.87455058065,7819.8735453885,0.10776019130622655,99.92980742917051,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0006811596558869866,0.0
2834.1574875267647,8166.012158277379,7200.672961872221,0.19999763390777084,11.029176374380654,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.1641517382417273e-05,0.0
2982.615465071517,1907.223108943721,4268.906002101287,0.19305388479294014,96.92567567218798,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0004432760493724606,0.0
1553.3573160693466,4470.357163136208,9710.52580656537,0.19832077510102974,43.53239966418998,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,8.420037502556257e-05,0.0
1515.3433826532676,9020.124451417734,5070.30801031668,0.19144899494560857,36.045757171334174,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.000576281812586058,0.0
2740.4419330580454,9519.720023108144,9958.732775084218,0.19911653071827407,10.182963388394711,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.1691063551510395e-07,0.0
1683.7834946966364,9782.342563282555,106.93957794240123,0.0226787765907685,96.59764503206455,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,3.646732367576498e-05,0.0
2889.464750649377,9392.387446204622,5354.768267829252,0.18322714264054987,21.266493569183964,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00013455149512597476,0.0
1688.9094062268273,8790.499781678061,9999.059251583874,2.9621971826487847e-05,12.221268373729188,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.970342286648735e-07,0.0
2875.2387538548687,3271.0149978451354,103.71165137480239,0.1874950351309124,90.30235074424027,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,8.361904962039904e-05,0.0
1759.13792992315,9949.12029605033,9948.631021693755,0.05246258371819659,27.37800548502834,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.000494476516359984,0.0
2991.9365098956823,1246.3639332708717,9998.81329388784,0.18699606024277127,41.754118145315545,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.0680221888830305e-06,0.0
1983.7832322872757,5524.818029049679,9815.821297030681,0.17701876828452992,62.48571899287131,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.001688819803493379,0.0
1732.0352042246454,9947.681827353463,9418.175441803109,0.18553801101532577,10.000675144178672,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.491341536829902e-07,0.0
2993.897784624433,9478.318321891073,9822.863846076734,0.19761467487591286,10.944994866391085,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.0381573451189621e-05,0.0
2870.643124220603,1000.0028109271461,9773.648961952387,0.105948288105435,57.66647686405495,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.557213290518369e-06,0.0
2945.6593230275025,9931.504016052466,125.05461704910522,0.13674212781362277,24.965909348271893,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.592527150052871e-05,0.0
2901.767919307153,1962.707738119133,9352.527051515544,0.08689775299968941,10.568479392976343,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00045564722460505043,0.0
1746.0028844097733,1000.6477314172134,6877.3433896101305,0.00017018747495833875,35.49859370489344,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.01625745811227e-05,0.0
2732.615226141277,8405.317698313034,1073.5043114387645,0.18863564710294844,87.70789160471142,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0013112050230459393,0.0
2640.110947483722,9638.41080226413,7756.308746512169,0.01602540037103864,92.83336541633078,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0008557765808821793,0.0
1516.3847887183167,8690.208592342424,8488.905916425203,0.19999877708399943,82.38978575369234,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,9.336600263575863e-07,0.0
2999.749256642547,1138.6430802731538,376.54878620949785,0.1374811418064147,46.53929222363224,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.4362987497213874e-05,0.0
2965.7899295741504,4611.050194701727,5348.84992006042,0.11786778514361457,91.67168381041304,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0002688200629765573,0.0
2456.440719737181,4755.4999270402905,8482.738721272244,0.02581943258793923,92.26276030604227,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0006685717494451759,0.0
1525.4930798061546,9968.509465877747,3875.533885172269,0.07961873467159308,10.000101951856124,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.6998427905798707e-07,0.0
2946.9841691914776,9999.21728437895,9999.999047044796,0.10602206350650961,10.206813793179919,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,1.299807270721451e-09,0.0
1567.71491999674,2686.323666205495,3101.5566659279148,0.06245718405176992,10.000063352795806,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.801927988718563e-07,0.0
2181.648964084876,1631.0160562881847,8507.46248775103,0.17898335705194862,72.4769082533791,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0007900406438434254,0.0
1508.4223481836623,7375.914805412387,408.15177571577624,0.19940768323678915,92.7809866041782,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,6.506092994097068e-05,0.0
2616.308566031056,9999.044375137304,2602.8061892741744,0.07988011087048003,81.37040118804178,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00042766937855449107,0.0
1769.928607849105,9998.042837358484,9127.209486652233,0.02101555055590479,93.13821212384993,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0001615800475900746,0.0
2973.213618203433,7870.8008870427,100.02940780454628,0.028126542336066457,15.452266324176335,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.123275811073352e-07,0.0
2943.598317304889,4839.844566497179,9829.692584534654,0.005783144157010256,15.209866661578744,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0004554241544608552,0.0
2074.4453030156405,2389.9106722582437,298.07445249970624,0.007888177808601432,10.000121366602173,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.2516477946395944e-07,0.0
1876.91493869186,4776.397768598075,3392.21929158068,0.006811111819675253,86.90532242278893,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.001065561668128325,0.0
2509.2290897191856,9673.535127556048,9996.510112718088,0.193549905377323,90.49579335050885,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,9.039900090976982e-05,0.0
1995.3620401486232,9111.447637904534,153.7589406592233,0.14803498274726345,95.93749192100199,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00035015769337045423,0.0
1547.2236642762139,9173.254607333092,1350.762088749967,0.043268622587830485,97.8987826016024,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.000253178075099892,0.0
2839.999215067708,9122.971907052543,9944.838521261974,0.18967531676338364,55.75447560569109,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.00048589060341616274,0.0
2916.5303476495337,5385.641613133041,9999.994314266978,0.10234840655783804,65.14241992798542,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.026793297362385e-06,0.0
1819.14366392896,9803.886943744566,6244.811722691085,0.19107161181899515,10.289210493813357,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,2.7172693624194817e-05,0.0
1517.18967126503,7128.003319227391,9832.736521954881,0.11861734317076202,85.78007150268387,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0007354155426463421,0.0
2974.2349963101246,1861.5088576211883,2745.614439087677,0.1999603653444773,17.89588918562258,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,4.9319779722995276e-05,0.0
1504.6899763904437,9945.730707628418,9943.7820550202,0.044225731459335504,10.00000115471218,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,7.076081899881623e-10,0.0
2387.585894975792,7699.7694424379115,216.45403350904962,0.07757404404325839,15.88807687112461,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0011000826631391324,0.0
1814.8694661786176,1056.4263698962804,9019.08810486155,0.00887905667212377,99.6781941543894,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,8.183413124044298e-05,0.0
2990.841109789964,1037.0705267974845,9999.974101593225,0.16715383900060501,38.62261387246902,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,5.08040189932301e-07,0.0
2966.2583258556333,1000.3004239827005,672.848938193305,0.17363254525637706,87.09977277757064,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,6.464492049787477e-06,0.0
1568.1673809543504,9562.438988675302,1169.0084967278344,0.030413832560493737,66.36061589097514,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,1.6365,B_B90 & V_B90 & FUV,0.0014590172165883201,0.0
