tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
1512.4140112741686,9901.802309651954,3514.6376220119037,0.19181105989949826,13.1255185934709,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1500.4012029099422,4738.402823858509,100.65656196809687,0.17053736812103293,65.54959317657136,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2631.4014452743613,1014.6531338206496,112.25423457790566,0.1542996655151519,13.005176401989289,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2522.4881308728723,1031.0270519383703,4480.032998359314,0.015546614646521073,11.508138214205161,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1649.4325143505484,9986.145313496614,199.190696221709,0.005574886997495809,20.8274214303715,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1529.0007043749204,3101.430218009493,6467.196796896467,0.12710914153181074,10.023946170186917,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1687.0162924538845,6983.812714232152,151.47843095906683,0.02306743791567306,10.110497519666723,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2884.0047148098556,6805.385158607634,102.29412510302973,0.14436467011485143,99.99454376309059,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2979.622239100677,1088.4207315598123,4528.49885193652,0.18132731259342252,10.012885923963253,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1782.1744012201978,1033.9529788979617,948.8554638617643,0.1616764856273189,98.26044173915092,1.0,True,3.8,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2442.7880653476373,4780.576880077176,8441.205638954987,0.027517139637607407,73.2718848318506,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1872.6531327242546,5693.589157860056,7044.007675461251,0.1993130774959829,65.9970111884479,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2202.734950979436,2364.1162211404207,4165.950516712388,0.10693447078666574,20.49123152188281,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
