tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters,weights,MAP
1636.1968693834717,7858.109368680112,167.7401347532632,0.02180153197965312,97.41748627546646,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0002492642584319325,0.0
2983.793689506237,9747.358383530527,102.13964475838657,0.1840203506649318,10.007907101031861,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.5162115981846294e-07,0.0
2841.7088907943985,9515.589526366706,242.19488960843046,0.005044985036135319,16.434609688270157,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,6.411713797909147e-05,0.0
1557.6657559052512,8492.556325032767,274.30258277135,0.04420340415777141,59.67768691005911,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0009497111266349958,0.0
1834.6048791078547,1106.7981415354698,989.3118079243686,0.19992865205429503,11.835469441763436,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,9.80296602611101e-63,0.0
1533.4048058211736,6326.369576601932,2014.9871624012849,0.058345331264480826,99.84574023049709,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00014753836396687428,0.0
2308.3921302022154,6228.681046784628,3554.5284203959427,0.14229633865250874,14.451510320298183,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,1.3545721857609508e-26,0.0
2683.72377454353,1204.4438159386264,514.3261480413566,0.0006740699248156679,10.020543271804513,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,3.4667945347940213e-06,0.0
1500.2274173462486,9535.29855942002,1129.3066939748696,0.16266230993209357,10.000000028182683,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,2.998047654326115e-13,0.0
1572.4473759412635,1018.0402319569621,874.3259590266589,0.19999746482029715,82.33893258101895,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,5.278038374302386e-07,0.0
2583.3478768918967,6393.231764602528,1082.4809980594619,0.022193071666713804,99.99768192993521,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,3.119816251612451e-06,0.0
2138.3791164113272,6955.70108089827,111.13569566700608,0.016793352094935765,48.39795484233871,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,8.286159267068619e-05,0.0
1743.3183930895216,9943.745410167843,449.04322247596247,0.12601235599123362,83.34815373453749,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.00014181316405659328,0.0
1503.036968599287,2660.8816990796176,6908.643617942953,0.15121692171405943,21.521945993500253,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,6.962047612270359e-15,0.0
1704.445932648386,3855.5832185929185,9231.431965487156,0.18597984193955006,80.77864942355046,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV,0.0003184844724212495,0.0
