tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,Av_ISM,mu,slope_ISM,slope_BC,imf,metallicity,qpah,umin,alpha,gamma,separation_age,redshift,filters
2999.935240429978,1004.592539663603,3272.257930354819,0.011673208798618218,99.96945155314782,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2965.629402099926,2542.016923474808,2354.7821383428,0.18245372101154222,39.6171127172465,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2996.261277551032,3196.7965857904,1993.5255229223212,0.07522207992292587,34.79678121407005,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2997.2611227587586,9613.376469902982,119.8172859942697,0.09997901769704842,97.60307792774934,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1563.012279103096,2143.9620873238437,133.558296132569,0.13533179119069277,10.151081328765159,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1528.0405393293402,3749.643202588376,193.50527935842,0.05874726225972443,13.729802307717677,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2993.5985356678375,1149.9811778356998,161.8009008046556,0.19997071544612974,99.67440983594736,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.994680405684,3862.338494101562,379.3253557468033,0.004267908856390112,72.48504583104652,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1546.9508525150966,9338.971884617486,9889.684844919339,0.1498119092950118,53.96354334193265,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2767.58503808173,9962.81266135456,3117.9348743595547,0.19954135459464792,37.026407159113376,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2440.4693766686228,7788.745395477163,5931.812270997696,0.1984044567816886,79.46541794425704,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1865.0452244015307,8007.491783012752,714.1381323727983,0.18647603104969465,97.99891034762464,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2810.598525391129,8229.21331079306,6194.888354496881,0.19919533753428126,10.254856972588385,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2723.0119640608327,6465.18679300879,1587.133935445896,0.15586287242228372,86.1325891764294,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2187.319398627408,1109.4896031039461,6042.380960235683,0.18842043395094918,88.03835753424099,1.0,True,0.0,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.999431481801,9585.67639932716,112.01032237852269,0.0022975254737796214,87.14534705508726,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2226.19245651668,1626.2266927515066,100.0000099087647,0.017261828975931426,82.40759856818858,1.0,True,1.7,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2993.2858781837317,9705.77426139713,1629.6157725320263,0.19406187086500762,99.91284681363328,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2971.7682383192987,8422.416749050793,101.65515977546784,0.03412374439464089,76.79847400569402,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1581.4516861038258,2273.053955317304,7978.953587584912,0.003913101533851354,44.4886048472167,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2995.6033884828876,3437.950558200462,8047.898427535367,0.1997025889155782,24.99067134626975,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1514.14162155859,9378.151351182843,599.999657758468,0.19112948155182558,93.75161630506585,1.0,True,0.1,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2964.632248447208,7400.069452542246,2346.81035198932,0.19560502344477793,61.00039286939586,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2778.2758849837205,3695.1546808055064,8196.346266331468,0.18845862869921345,32.570523870084386,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2304.509869852671,7969.436974761615,2093.0171847773145,0.04677658865022877,99.98114690474267,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2260.5934893837266,6241.0420746907075,586.5452204701014,0.19422149975914976,99.99242987741431,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.881343302367,2378.1613290571822,1411.5657414149991,0.1967777869415409,38.73483317579622,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.906463899525,2841.2368962602714,9247.817392424418,0.19116814868861695,73.92674788991877,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2989.2592922853178,4529.245503536121,179.43466721068944,0.18846345219113117,28.77858341272271,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2997.3369539048595,1284.6010454561474,107.76265155950387,0.19999988042204708,98.03188445207522,1.0,True,0.3,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2225.6589301175954,3503.9882358924833,1045.278305588945,0.1895079865670591,71.79835016397283,1.0,True,0.3,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2835.5475942274784,1013.7328320618471,1431.1496896463468,0.09924814975710333,92.0305545393625,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2946.504732157331,4819.75096605563,979.2554738181316,0.180793284997881,59.81272885399099,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1506.2941663621057,1064.5263700641663,4654.934331244882,0.013226193103624662,91.93505363905047,1.0,True,3.3,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.9946322776586,8109.522074387981,9950.441573889535,0.17636506600449894,75.45045245687982,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1538.8453545810028,1594.2161942900584,3937.951859675569,0.038909991133528055,99.99964161891168,1.0,True,1.2,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2563.6382965349644,1103.0773899117175,9713.16402614155,0.0159807780098615,56.79653975379158,1.0,True,0.05,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2930.0088214075577,1187.9534087869997,100.02113116534383,0.1205383195946902,62.359150636252984,1.0,True,3.8,0.5,-0.7,-0.7,1,0.004,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2940.487165275873,7324.212729307055,275.5256601268047,0.19604197011338387,72.62310274154459,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2944.444737818407,1345.6943163980977,1159.001511989618,0.02218021365800299,94.21388824382618,1.0,True,0.0,0.5,-0.7,-0.7,1,0.02,4.58,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2884.656775689305,7975.091107131528,5462.577627154644,0.09376834033751105,32.49133714864993,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2992.0603225261234,1064.9991027814049,112.80802748097449,0.08880528448892858,10.402281685934042,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2983.8744135153424,8992.042959732924,9922.3133225563,0.004381012203351686,37.86209525855297,1.0,True,0.8,0.5,-0.7,-0.7,1,0.004,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2781.4675303529584,1694.0462076218555,9015.1458032185,2.513848948706987e-05,69.40228472609218,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2668.737461395479,1126.129173858768,763.9368138510818,0.11487653018802028,97.97902854409416,1.0,True,2.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2334.8226122392966,1000.1203338108153,113.57517298256062,0.0028950610237223895,94.23735387491138,1.0,True,0.05,0.5,-0.7,-0.7,1,0.02,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2994.3597108704885,3116.462467223768,2309.7592073445367,0.018687724838375303,99.98379946031349,1.0,True,3.3,0.5,-0.7,-0.7,1,0.02,2.5,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1568.209597369126,3273.94154671287,5343.945945245461,0.19801058358771675,99.97927023621054,1.0,True,1.7,0.5,-0.7,-0.7,1,0.004,4.58,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1980.4058899965253,2287.259086958349,9423.045314830304,0.19951745979944546,89.9540016183966,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1540.019715562327,3807.983879851343,9739.898106572566,0.16831544578770388,87.96022762448194,1.0,True,0.8,0.5,-0.7,-0.7,1,0.02,2.5,25.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2999.999986482374,2789.5441076405923,4015.8974545125584,0.052833936697552486,10.462773466118875,1.0,True,0.1,0.5,-0.7,-0.7,1,0.02,0.47,5.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
1740.7383500425524,3859.4581163630482,8957.090705940805,1.0365707914905542e-05,73.29280383799785,1.0,True,2.3,0.5,-0.7,-0.7,1,0.004,2.5,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
2737.5446490476866,2661.253818538923,1651.651508331708,0.1590833527208731,95.36006938940741,1.0,True,1.2,0.5,-0.7,-0.7,1,0.02,0.47,10.0,2,0.02,10,0.8301,B_B90 & V_B90 & FUV
